PID_IN,PID_Kp_OUT1,PID_Kid_OUT1,PID_prod1_IN2,PID_int_delayIn_IN1,PID_der_sum1_IN2,PID_der_delay_IN1,PID_der_sum2_IN2,PID_prod1_IN1,PID_prod1_IN2,PID_prod1_OUT1,PID_int_zero_OUT1,PID_int_delayIn_IN1,PID_int_delayIn_OUT1,PID_int_delayIn_IC,PID_int_delta_t_OUT1,PID_int_multDelta_IN1,PID_int_multDelta_IN2,PID_int_multDelta_OUT1,PID_zeroCt_OUT1,PID_int_delayState_IN1,PID_int_delayState_OUT1,PID_int_delayState_IC,PID_int_sumState_IN1,PID_int_sumState_IN2,PID_int_sumState_OUT1,PID_prod2_IN1,PID_prod2_IN2,PID_prod2_OUT1,PID_sum1_IN1,PID_sum1_IN2,PID_sum1_OUT1,PID_der_delta_t_OUT1,PID_der_multIc_IN1,PID_der_multIc_IN2,PID_der_multIc_OUT1,PID_der_neg1_IN1,PID_der_neg1_OUT1,PID_der_sum1_IN1,PID_der_sum1_IN2,PID_der_sum1_OUT1,PID_der_delay_IN1,PID_der_delay_OUT1,PID_der_delay_IC,PID_der_neg2_IN1,PID_der_neg2_OUT1,PID_der_sum2_IN1,PID_der_sum2_IN2,PID_der_sum2_OUT1,PID_der_inv_IN1,PID_der_inv_OUT1,PID_der_mult_IN1,PID_der_mult_IN2,PID_der_mult_OUT1,PID_prod3_IN1,PID_prod3_IN2,PID_prod3_OUT1,PID_sum2_IN1,PID_sum2_IN2,PID_sum2_OUT1,PID_OUT
0.774287,390,20,0.774287,0.774287,0.774287,0.774287,0.774287,390,0.774287,301.97204,0,0.774287,3.26097,0.774287,0.1,3.26097,0.1,0.326097,0,1.571064,1.360225,1.571064,0.326097,1.360225,1.686322,1.686322,20,33.726433,301.97204,33.726433,335.698473,0.1,0,0.1,0,0,0,0,0.774287,0.774287,0.774287,3.26097,0.774287,3.26097,-3.26097,-3.26097,0.774287,-2.486682,0.1,10,-2.486682,10,-24.866825,20,-24.866825,-497.336492,335.698473,-497.336492,-161.638019,-161.638019
-2.23587,390,20,-2.23587,-2.23587,-2.23587,-2.23587,-2.23587,390,-2.23587,-871.989271,0,-2.23587,0.774287,-2.23587,0.1,0.774287,0.1,0.077429,0,1.686322,1.571064,1.686322,0.077429,1.571064,1.648492,1.648492,20,32.969848,-871.989271,32.969848,-839.019423,0.1,0,0.1,0,0,0,0,-2.23587,-2.23587,-2.23587,0.774287,-2.23587,0.774287,-0.774287,-0.774287,-2.23587,-3.010157,0.1,10,-3.010157,10,-30.101572,20,-30.101572,-602.031441,-839.019423,-602.031441,-1441.050864,-1441.050864
-5.512197,390,20,-5.512197,-5.512197,-5.512197,-5.512197,-5.512197,390,-5.512197,-2149.756835,0,-5.512197,-2.23587,-5.512197,0.1,-2.23587,0.1,-0.223587,0,1.648492,1.686322,1.648492,-0.223587,1.686322,1.462735,1.462735,20,29.254693,-2149.756835,29.254693,-2120.502142,0.1,0,0.1,0,0,0,0,-5.512197,-5.512197,-5.512197,-2.23587,-5.512197,-2.23587,2.23587,2.23587,-5.512197,-3.276327,0.1,10,-3.276327,10,-32.763271,20,-32.763271,-655.265418,-2120.502142,-655.265418,-2775.76756,-2775.76756
-8.719833,390,20,-8.719833,-8.719833,-8.719833,-8.719833,-8.719833,390,-8.719833,-3400.734782,0,-8.719833,-5.512197,-8.719833,0.1,-5.512197,0.1,-0.55122,0,1.462735,1.648492,1.462735,-0.55122,1.648492,1.097273,1.097273,20,21.945454,-3400.734782,21.945454,-3378.789328,0.1,0,0.1,0,0,0,0,-8.719833,-8.719833,-8.719833,-5.512197,-8.719833,-5.512197,5.512197,5.512197,-8.719833,-3.207636,0.1,10,-3.207636,10,-32.076358,20,-32.076358,-641.527152,-3378.789328,-641.527152,-4020.31648,-4020.31648
-11.471338,390,20,-11.471338,-11.471338,-11.471338,-11.471338,-11.471338,390,-11.471338,-4473.821944,0,-11.471338,-8.719833,-11.471338,0.1,-8.719833,0.1,-0.871983,0,1.097273,1.462735,1.097273,-0.871983,1.462735,0.590751,0.590751,20,11.815028,-4473.821944,11.815028,-4462.006916,0.1,0,0.1,0,0,0,0,-11.471338,-11.471338,-11.471338,-8.719833,-11.471338,-8.719833,8.719833,8.719833,-11.471338,-2.751506,0.1,10,-2.751506,10,-27.515055,20,-27.515055,-550.301109,-4462.006916,-550.301109,-5012.308024,-5012.308024
-13.362662,390,20,-13.362662,-13.362662,-13.362662,-13.362662,-13.362662,390,-13.362662,-5211.438256,0,-13.362662,-11.471338,-13.362662,0.1,-11.471338,0.1,-1.147134,0,0.590751,1.097273,0.590751,-1.147134,1.097273,-0.049861,-0.049861,20,-0.997222,-5211.438256,-0.997222,-5212.435478,0.1,0,0.1,0,0,0,0,-13.362662,-13.362662,-13.362662,-11.471338,-13.362662,-11.471338,11.471338,11.471338,-13.362662,-1.891324,0.1,10,-1.891324,10,-18.913239,20,-18.913239,-378.264776,-5212.435478,-378.264776,-5590.700254,-5590.700254
-14.017152,390,20,-14.017152,-14.017152,-14.017152,-14.017152,-14.017152,390,-14.017152,-5466.689257,0,-14.017152,-13.362662,-14.017152,0.1,-13.362662,0.1,-1.336266,0,-0.049861,0.590751,-0.049861,-1.336266,0.590751,-0.745515,-0.745515,20,-14.910297,-5466.689257,-14.910297,-5481.599554,0.1,0,0.1,0,0,0,0,-14.017152,-14.017152,-14.017152,-13.362662,-14.017152,-13.362662,13.362662,13.362662,-14.017152,-0.65449,0.1,10,-0.65449,10,-6.544897,20,-6.544897,-130.897949,-5481.599554,-130.897949,-5612.497503,-5612.497503
-13.134633,390,20,-13.134633,-13.134633,-13.134633,-13.134633,-13.134633,390,-13.134633,-5122.50703,0,-13.134633,-14.017152,-13.134633,0.1,-14.017152,0.1,-1.401715,0,-0.745515,-0.049861,-0.745515,-1.401715,-0.049861,-1.451576,-1.451576,20,-29.031526,-5122.50703,-29.031526,-5151.538556,0.1,0,0.1,0,0,0,0,-13.134633,-13.134633,-13.134633,-14.017152,-13.134633,-14.017152,14.017152,14.017152,-13.134633,0.882519,0.1,10,0.882519,10,8.825185,20,8.825185,176.503706,-5151.538556,176.503706,-4975.034849,-4975.034849
-10.542995,390,20,-10.542995,-10.542995,-10.542995,-10.542995,-10.542995,390,-10.542995,-4111.76801,0,-10.542995,-13.134633,-10.542995,0.1,-13.134633,0.1,-1.313463,0,-1.451576,-0.745515,-1.451576,-1.313463,-0.745515,-2.058978,-2.058978,20,-41.179563,-4111.76801,-41.179563,-4152.947573,0.1,0,0.1,0,0,0,0,-10.542995,-10.542995,-10.542995,-13.134633,-10.542995,-13.134633,13.134633,13.134633,-10.542995,2.591639,0.1,10,2.591639,10,25.916385,20,25.916385,518.327703,-4152.947573,518.327703,-3634.619871,-3634.619871
-6.235769,390,20,-6.235769,-6.235769,-6.235769,-6.235769,-6.235769,390,-6.235769,-2431.94982,0,-6.235769,-10.542995,-6.235769,0.1,-10.542995,0.1,-1.054299,0,-2.058978,-1.451576,-2.058978,-1.054299,-1.451576,-2.505876,-2.505876,20,-50.117516,-2431.94982,-50.117516,-2482.067336,0.1,0,0.1,0,0,0,0,-6.235769,-6.235769,-6.235769,-10.542995,-6.235769,-10.542995,10.542995,10.542995,-6.235769,4.307226,0.1,10,4.307226,10,43.072261,20,43.072261,861.445226,-2482.067336,861.445226,-1620.62211,-1620.62211
