"time","lead_car.y","Plant.y","et.y","PID.ut"
63.59,1655.73183731687,1645.872397926541,-0.1405606096709562,-56.53930135886342
63.6,1655.939999816791,1646.079577126666,-0.1395773098749942,-56.45741018033356
63.61,1656.147837316711,1646.286568633483,-0.1387313167722368,-56.42955348585954
63.62,1656.355349816632,1646.493372534975,-0.1380227183435636,-56.45546531378206
63.63,1656.562537316552,1646.699988756365,-0.1374514398123665,-56.53481765248105
63.64,1656.769399816473,1646.90641706107,-0.1370172445974731,-56.66722115877455
63.65,1656.975937316394,1647.112657051874,-0.1367197354800282,-56.85222595264479
63.66,1657.182149816314,1647.318708172183,-0.136558355869056,-57.08932245535517
63.67,1657.388037316235,1647.524569707769,-0.136532391534729,-57.37794238650515
63.68,1657.593599816155,1647.730240788406,-0.1366409722506887,-57.71745973422973
63.69,1657.798837316076,1647.935720389687,-0.1368830736116706,-58.10719179397036
63.7,1658.003749815997,1648.141007335188,-0.1372575191912802,-58.54640031282897
63.71,1658.208337315917,1648.346100298716,-0.1377629827986766,-59.03429269117598
63.72,1658.412599815837,1648.550997806702,-0.1383979908648598,-59.5700232074904
63.73,1658.616537315758,1648.755698240637,-0.1391609248789791,-60.15269426828299
63.74,1658.820149815679,1648.960199839983,-0.140050024303946,-60.78135783613933
63.75,1659.023437315599,1649.164500704966,-0.1410633893672184,-61.45501678847774
63.76,1659.22639981552,1649.368598799566,-0.1421989840459901,-62.17262637163235
63.77,1659.429037315441,1649.572491954682,-0.1434546392415541,-62.93309569713696
63.78,1659.631349815361,1649.776177871518,-0.1448280561567117,-63.73528931303035
63.79,1659.833337315282,1649.979654124982,-0.1463168097000107,-64.57802878049458
63.8,1660.034999815202,1650.182918167173,-0.1479183519704748,-65.46009428191066
63.81,1660.236337315123,1650.385967331197,-0.1496300160742976,-66.3802263294579
63.82,1660.437349815043,1650.588798834949,-0.1514490199060674,-67.3371274675941
63.83,1660.638037314964,1650.791409785029,-0.1533724700645962,-68.32946400750109
63.84,1660.838399814885,1650.993797180726,-0.1553973658417362,-69.35586779973529
63.85,1661.038437314805,1651.195957918281,-0.1575206034760868,-70.41493806366225
63.86,1661.238149814726,1651.397888795072,-0.1597389803464466,-71.50524321852428
63.87,1661.437537314646,1651.599586513908,-0.1620491992614461,-72.625322732698
63.88,1661.636599814567,1651.801047687507,-0.1644478729406273,-73.77368902681846
63.89,1661.835337314487,1652.002268843008,-0.1669315285207631,-74.94882938120799
63.9,1662.033749814408,1652.203246426538,-0.1694966121301604,-76.14920786353085
63.91,1662.231837314328,1652.403976807812,-0.1721394934832006,-77.37326725793626
63.92,1662.429599814249,1652.604456284938,-0.17485647068861,-78.61943104961523
63.93,1662.627037314169,1652.804681089151,-0.1776437749820161,-79.88610538086382
63.94,1662.82414981409,1653.004647389629,-0.1804975755392206,-81.17168103521904
63.95,1663.020937314011,1653.204351298368,-0.1834139843574576,-82.47453541856902
63.96,1663.217399813931,1653.403788875127,-0.1863890611953138,-83.79303456438612
63.97,1663.413537313852,1653.602956132353,-0.1894188185012808,-85.12553511862848
63.98,1663.609349813772,1653.801849040142,-0.1924992263693639,-86.47038633068057
63.99,1663.804837313693,1654.000463531273,-0.1956262175797292,-87.8259320637969
64,1663.999999813614,1654.198795506205,-0.198795692591375,-89.19051276210632
64.01000000000001,1664.194837313534,1654.396840838102,-0.2020035245679992,-90.56246744074186
64.02,1664.389349813455,1654.594595377862,-0.2052455644070506,-91.94013565974512
64.03,1664.583537313375,1654.792054959153,-0.2085176457774196,-93.32185947548821
64.04000000000001,1664.777399813296,1654.989215403425,-0.211815590129163,-94.70598538954923
64.05,1664.970937313217,1655.186072524923,-0.215135211705956,-96.09086628493192
64.06,1665.164149813137,1655.382622135671,-0.2184723225341259,-97.47486333055721
64.06999999999999,1665.357037313058,1655.578860050436,-0.2218227373780337,-98.85634786838287
64.08,1665.549599812978,1655.774782091647,-0.2251822786690809,-100.233703285303
64.09,1665.741837312899,1655.970384094323,-0.2285467814240292,-101.6053268662252
64.09999999999999,1665.93374981282,1656.165661910888,-0.2319120980685057,-102.969631595604
64.11,1666.12533731274,1656.360611415989,-0.2352741032482299,-104.3250479515591
64.12,1666.316599812661,1656.555228511254,-0.2386286985934021,-105.6700256671332
64.13,1666.507537312581,1656.749509129997,-0.2419718174153331,-107.0030354559499
64.14,1666.698149812502,1656.943449241814,-0.2452994293116717,-108.3225706942612
64.15000000000001,1666.888437312423,1657.13704485715,-0.2486075447275198,-109.6271490672835
64.16,1667.078399812343,1657.33029203184,-0.2518922194967672,-110.9153142233427
64.17,1667.268037312264,1657.523186871455,-0.2551495591912953,-112.1856373159637
64.18000000000001,1667.457349812184,1657.715725535639,-0.2583757234544919,-113.436718538779
